name,date,energy,amount,on_peak,mid_day,off_peak,correct_amount,error_rounding,error_calculation,session_type_DEVICE,session_type_MOBILE,session_type_WEB,port_type_CHADEMO,port_type_DCCOMBOTYP1,payment_mode_CREDITCARD,payment_mode_RFID,correct_duration
A,2018-10-23,207.67,107.6,3.0,7.0,6.0,107.6,0.0,0.0,5,11,0,14,2,8,8,28295
A,2018-10-24,153.0,79.57,3.0,3.0,4.0,79.57,0.0,0.0,2,8,0,9,1,4,6,22328
A,2018-10-25,199.75,105.68,6.0,9.0,3.0,105.68,0.0,0.0,11,7,0,17,1,10,8,22813
A,2018-10-26,213.04,108.92,2.0,6.0,5.0,108.92,0.0,0.0,3,10,0,11,2,8,5,28941
A,2018-10-27,181.58,96.7,4.0,6.0,5.0,96.7,0.0,0.0,5,10,0,15,0,8,7,24447
A,2018-10-28,189.14,102.16,3.0,4.0,4.0,102.16,0.0,0.0,3,8,0,11,0,9,2,26538
A,2018-10-29,221.56,119.79,5.0,4.0,3.0,119.79,0.0,0.0,5,7,0,11,1,8,4,30765
A,2018-10-30,209.11,107.15,4.0,8.0,3.0,107.15,0.0,0.0,5,10,0,14,1,10,5,29633
A,2018-10-31,230.36,117.64,2.0,11.0,3.0,117.65,0.0,1.0,2,14,0,14,2,10,6,29940
A,2018-11-01,262.6,139.96,5.0,9.0,5.0,139.96,0.0,0.0,5,14,0,17,2,11,8,32712
A,2018-11-02,220.56,114.01,5.0,7.0,3.0,114.01,0.0,0.0,6,9,0,14,1,8,7,26619
A,2018-11-03,234.81,118.59,4.0,9.0,6.0,118.59,0.0,0.0,9,10,0,16,3,13,6,27976
A,2018-11-04,248.92,127.27,7.0,6.0,4.0,127.27,0.0,0.0,6,11,0,16,1,8,9,27809
A,2018-11-05,159.92,81.93,2.0,6.0,4.0,81.93,0.0,0.0,3,9,0,9,3,5,7,18599
A,2018-11-06,287.2,149.13,4.0,8.0,3.0,149.14,0.0,0.0,6,8,1,15,0,11,4,30621
A,2018-11-07,279.51,149.05,4.0,6.0,4.0,149.05,0.0,0.0,4,10,0,12,2,6,8,33364
A,2018-11-08,206.34,108.72,6.0,7.0,2.0,108.73,0.0,0.0,2,13,0,12,3,7,8,23353
A,2018-11-09,270.64,142.77,7.0,9.0,3.0,142.78,0.0,1.0,11,8,0,16,3,12,7,32029
A,2018-11-10,250.2,129.57,4.0,9.0,3.0,129.58,0.0,0.0,6,10,0,15,1,7,9,30239
A,2018-11-11,202.09,108.31,4.0,5.0,3.0,108.32,0.0,0.0,5,7,0,11,1,4,8,24109
A,2018-11-12,210.77,112.84,5.0,9.0,5.0,112.85,0.0,1.0,10,9,0,19,0,12,7,23617
A,2018-11-13,250.62,97.95,3.0,10.0,4.0,129.84,0.0,1.0,9,8,0,14,3,10,7,-34103
A,2018-11-14,135.4,71.16,5.0,6.0,2.0,71.16,0.0,0.0,6,7,0,13,0,8,5,18492
A,2018-11-15,168.74,87.89,2.0,5.0,6.0,87.89,0.0,0.0,3,10,0,12,1,6,7,21860
A,2018-11-16,248.81,130.23,5.0,9.0,3.0,130.24,0.0,0.0,6,11,0,15,2,11,6,31601
A,2018-11-17,151.95,77.48,2.0,4.0,2.0,77.48,0.0,0.0,3,5,0,8,0,5,3,18244
A,2018-11-18,205.28,112.35,6.0,3.0,3.0,112.35,0.0,0.0,4,8,0,12,0,9,3,25030
A,2018-11-19,164.49,86.02,3.0,6.0,3.0,86.02,0.0,0.0,3,9,0,10,2,5,7,21064
A,2018-11-20,186.56,97.62,4.0,4.0,3.0,97.63,0.0,0.0,3,8,0,10,1,7,4,20202
A,2018-11-21,201.71,103.37,3.0,7.0,1.0,103.37,0.0,0.0,6,5,0,9,2,10,1,26261
