date,energy,error_rounding,error_calculation,on_peak,mid_day,off_peak,port_type_CHADEMO,port_type_DCCOMBOTYP1,payment_mode_CREDITCARD,payment_mode_RFID,session_type_DEVICE,session_type_MOBILE,session_type_WEB,name
2019-09-01,412.47,0.0,4.0,9.0,17.0,6.0,30.0,3.0,17.0,16.0,17.0,14.0,2.0,Agg
2019-09-02,444.59,0.0,3.0,7.0,20.0,6.0,32.0,2.0,22.0,11.0,11.0,20.0,1.0,Agg
2019-09-03,453.39,0.0,4.0,12.0,16.0,8.0,33.0,2.0,18.0,17.0,12.0,22.0,2.0,Agg
2019-09-04,449.42,0.0,3.0,11.0,18.0,9.0,36.0,2.0,21.0,17.0,16.0,21.0,1.0,Agg
2019-09-05,503.39,0.0,4.0,11.0,23.0,8.0,38.0,3.0,24.0,17.0,21.0,17.0,2.0,Agg
2019-09-06,470.47,0.0,6.0,7.0,14.0,10.0,29.0,3.0,18.0,15.0,14.0,19.0,0.0,Agg
2019-09-07,392.55,0.0,4.0,4.0,24.0,5.0,30.0,3.0,22.0,12.0,19.0,13.0,1.0,Agg
